ilmbase 2.3.0-1
imagemagick 7.0.8.46-1
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
intel-tbb 2019.5-1
intel-ucode 20190514.a-1
intltool 0.51.0-4
inxi 3.0.34-1
iproute2 5.1.0-1
iptables 1:1.8.2-1
iptraf-ng 1.1.4-4
iputils 20180629.f6aac8d-4
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.2-1
isousb 1.5-3
iw 5.0.1-1
j4-dmenu-desktop 2.17-1
jack2 1.9.12-9
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.16-1
jdk-openjdk 11.0.3.u7-0
jdk7-openjdk 7.u171_2.6.13-1
jemalloc 1:5.2.0-1
jfsutils 1.1.15-6
jnettop 0.13.0-6
jp2a 1.0.7-2
jre-openjdk 11.0.3.u7-0
jre-openjdk-headless 11.0.3.u7-0
jre7-openjdk 7.u171_2.6.13-1
jre7-openjdk-headless 7.u171_2.6.13-1
js 24.2.0-4
js52 52.9.0-2
js60 60.7.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
jxrlib 0.2.1-3
karchive 5.58.0-1
kauth 5.58.0-1
kbd 2.0.4-2
kbookmarks 5.58.0-1
kcodecs 5.58.0-1
kcompletion 5.58.0-1
kconfig 5.58.0-1
kconfigwidgets 5.58.0-1
kcoreaddons 5.58.0-1
kcrash 5.58.0-1
kdbusaddons 5.58.0-1
key-mon 1.17-1
keyutils 1.6-1
kglobalaccel 5.58.0-1
kguiaddons 5.58.0-1
ki18n 5.58.0-1
kiconthemes 5.58.0-1
kio 5.58.0-1
kitemmodels 5.58.0-1
kitemviews 5.58.0-1
kitty 0.13.3-1
kjobwidgets 5.58.0-1
kmod 26-2
knotifications 5.58.0-1
kodi 18.2-3
kodi-bin 18.2-3
kparts 5.58.0-1
kpty 5.58.0-1
krb5 1.16.1-1
kservice 5.58.0-1
ktextwidgets 5.58.0-1
kvantum-manjaro 0.13.2-2
kvantum-qt5 0.11.1-1
kwallet 5.58.0-1
kwidgetsaddons 5.58.0-1
kwindowsystem 5.58.0-1
kxmlgui 5.58.0-1
kyotocabinet 1.2.77-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.8.0-2
lcms 1.19-7
lcms2 2.9-1
ldb 1:1.5.4-2
ldns 1.7.0-4
lensfun 0.3.2-7
leptonica 1.78.0-1
less 530-1
lib32-acl 2.2.53-1
lib32-alsa-lib 1.1.8-2
lib32-alsa-plugins 1.1.8-1
lib32-atk 2.32.0-1
lib32-attr 2.4.48-1
lib32-bzip2 1.0.6-3
lib32-cairo 1.16.0-2
lib32-cracklib 2.9.7-1
lib32-curl 7.64.1-1
lib32-dbus 1.12.14-1
lib32-dbus-glib 0.110-1
lib32-e2fsprogs 1.45.1-1
lib32-expat 2.2.6-2
lib32-faudio 19.05-1
lib32-flac 1.3.2-2
lib32-flex 2.6.4-2
lib32-fontconfig 2:2.13.1+12+g5f5ec56-1
lib32-freeglut 3.0.0-2
lib32-freetype2 2.10.0-2
lib32-fribidi 1.0.5-1
lib32-gcc-libs 8.3.0-1
lib32-gconf 3.2.6-3
lib32-gdk-pixbuf2 2.38.1-1
lib32-gettext 0.19.8.1-2
lib32-giflib 5.1.9-3
lib32-glew 2.1.0-1
lib32-glew1.10 1.10.0-4
lib32-glib2 2.60.2-1
lib32-glibc 2.29-1
lib32-glu 9.0.0-4
lib32-gmp 6.1.2-2
lib32-gnutls 3.6.7-1
lib32-gtk2 2.24.32-1
lib32-harfbuzz 2.4.0-2
lib32-icu 64.2-1
lib32-imlib2 1.5.1-1
lib32-keyutils 1.6-1
lib32-krb5 1.16.1-1
lib32-lcms2 2.9-1
lib32-libappindicator-gtk2 12.10.0-10
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcaca 0.99.beta19-2
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcap 2.27-1
lib32-libcups 2.2.11-1
lib32-libcurl-compat 7.64.1-1
lib32-libcurl-gnutls 7.64.1-1
lib32-libdatrie 0.2.12-1
lib32-libdbusmenu-glib 16.04.0-3
lib32-libdbusmenu-gtk2 16.04.0-3
lib32-libdrm 2.4.98-1
lib32-libelf 0.176-1
lib32-libffi 3.2.1-2
lib32-libgcrypt 1.8.4-1
lib32-libgcrypt15 1.5.6-5
lib32-libglvnd 1.1.1-1
lib32-libgpg-error 1.36-1
lib32-libgudev 232-1
lib32-libice 1.0.9-3
lib32-libid3tag 0.15.1b-2
lib32-libidn 1.35-1
lib32-libidn2 2.1.1-1
lib32-libindicator-gtk2 12.10.1-7
lib32-libjpeg-turbo 2.0.2-1
lib32-libjpeg6-turbo 1.5.3-1
lib32-libldap 2.4.47-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libmikmod 3.3.11.1-3
lib32-libmodplug 0.8.9.0-3
lib32-libnl 3.4.0-1
lib32-libnm-glib 1.18.0-1
lib32-libnsl 1.2.0-1
lib32-libogg 1.3.3-3
lib32-libpcap 1.9.0-1
lib32-libpciaccess 0.14-1
lib32-libpng 1.6.37-1
lib32-libpng12 1.2.59-1
lib32-libpsl 0.20.2-3
lib32-libpulse 12.2-1
lib32-librtmp0 2.4-2
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libssh2 1.8.2-1
lib32-libtasn1 4.13-1
lib32-libthai 0.1.28-1
lib32-libtheora 1.1.1-12
lib32-libtiff 4.0.10-1
lib32-libtiff4 3.9.7-4
lib32-libtirpc 1.1.4-1
lib32-libudev0-shim 1-4
lib32-libunistring 0.9.10-1
lib32-libusb 1.0.22-1
lib32-libva 2.4.0-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-libva1 1.8.3-3
lib32-libvdpau 1.2-1
lib32-libvorbis 1.3.6-1
lib32-libvpx1.3 1.3.0-2
lib32-libwebp 1.0.2-1
lib32-libwrap 7.6.24-3
lib32-libx11 1.6.7-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.13.1-1
lib32-libxcomposite 0.4.5-1
lib32-libxcursor 1.2.0-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 5.0.3-2
lib32-libxft 2.3.3-1
lib32-libxi 1.7.9-2
lib32-libxinerama 1.1.4-1
lib32-libxml2 2.9.9-2
lib32-libxmu 1.1.3-1
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-1
lib32-libxss 1.2.3-1
lib32-libxt 1.1.5-2
lib32-libxtst 1.2.3-2
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 8.0.0-1
lib32-lm_sensors 3.5.0-2
lib32-lz4 1.8.3-1
lib32-mesa 19.0.4-1
lib32-mesa-demos 8.4.0-1
lib32-mesa-vdpau 19.0.4-1
lib32-mpg123 1.25.10-1
lib32-ncurses 6.1-4
lib32-nettle 3.4.1-1
lib32-nspr 4.21-1
lib32-nss 3.44-1
lib32-openal 1.19.1-1
lib32-openssl 1:1.1.1.b-1
lib32-openssl-1.0 1.0.2.r-1
lib32-p11-kit 0.23.15-1
lib32-pam 1.3.1-1
lib32-pango 1:1.43.0-2
lib32-pcre 8.43-1
lib32-pixman 0.38.4-1
lib32-polkit 0.116-1
lib32-readline 8.0.0-1
lib32-sdl 1.2.15-7
lib32-sdl2 2.0.9-1
lib32-sdl2_image 2.0.4-1
lib32-sdl2_mixer 2.0.4-1
lib32-sdl2_ttf 2.0.15-1
lib32-sdl_image 1.2.12-6
lib32-sdl_mixer 1.2.12-3
lib32-sdl_ttf 2.0.11-5
lib32-smpeg 0.4.5-3
lib32-sqlite 3.28.0-1
lib32-systemd 242.29-1
lib32-tdb 1.3.18-1
lib32-util-linux 2.33.2-1
lib32-vulkan-intel 19.0.4-1
lib32-vulkan-radeon 19.0.4-1
